,BG32,BG41,BG43,BG2,BG3,BG6,BG8,BG72,BG68,BG78,BG52,BG53,BG55,BG22,BG25,BG23
TRINITY_DN50647_c0_g1,1.098,0,0.662,0,0,1.172,0.66,1.72,0,1.64,0,8.699,5.927,0,1.294,1.203
TRINITY_DN180364_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN54999_c5_g1,0,0,0,0,0,0,0,0,0,0,0,0,0.153,0.114,0,0
TRINITY_DN36080_c0_g1,0,0,0,0,0.341,0.154,0,0,0,0.221,0.077,0.082,0,0,0,0
TRINITY_DN34830_c0_g1,0.06,0.275,0.46,2.08,0,0.067,0.078,0.733,0.859,0.259,0.278,4.124,5.434,0.208,3.552,7.178
TRINITY_DN61374_c19_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN176090_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN56569_c6_g5,0,1.576,2.647,1.466,1.129,0.769,3.281,3.185,2.097,3.654,1.785,0.778,1.408,0.189,3.022,1.006
TRINITY_DN59827_c14_g1,0.839,0,0.499,0.463,0.487,0.442,0,0,0,0,0,0,0,0,0,0.467
TRINITY_DN64037_c4_g3,0.509,0.779,0.71,0.819,0.837,0.653,0.971,0.899,1.068,1.017,0.816,3.951,1.103,0.749,0.679,0.716
TRINITY_DN94421_c0_g1,0,0,0,0.172,0,0.086,0,0,0,0,0,0,0,0.085,0,0
TRINITY_DN99725_c0_g1,0.19,0,0,0,0.672,0.605,0.223,0.596,0,0.192,0,0,0,0.208,0.223,0.415
TRINITY_DN57090_c4_g4,0,0.437,0.604,0.56,0,1.066,0.602,0.528,2.436,0.499,2.179,0,0.775,1.63,0.594,1.099
TRINITY_DN205811_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN116510_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN61807_c4_g3,0.06,0.057,0,0,0.068,0,0,0,0,0.058,0.067,0.256,0,0,0,0
TRINITY_DN57329_c6_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN40808_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN183392_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN85901_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRINITY_DN200861_c0_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
