,GG595,GG596,GG826,GG823,GG607,GG831,GG646,GG815,GG633,GG806,GG808,GG811,GG797,GG675,GG671
TRINITY_DN51228_c4_g1,17.588,18.883,19.027,18.652,20.318,18.953,17.2,21.656,18.609,20.89,19.594,20.516,18.886,18.714,18.167
TRINITY_DN49639_c0_g3,0,0,0,34.436,1.887,0,0,0,0,3.648,2.123,0,0,17.009,0
TRINITY_DN60265_c6_g3,2.443,0,4.709,3.714,3.774,3.567,6.864,2.851,3.883,1.036,2.095,4.384,2.425,3.931,10.458
TRINITY_DN63646_c4_g1,6.153,3.677,3.975,2.758,4.193,6.229,6.053,7.701,2.463,3.566,6.76,8.414,4.9,10.944,5.743
TRINITY_DN59213_c3_g2,2.513,1.333,2.383,4.479,5.292,2.191,2.777,5.383,3.152,9.155,7.455,2.753,3.257,1.889,5.519
TRINITY_DN65496_c1_g1,7.627,11.373,6.146,10.428,3.425,8.833,9.407,4.194,5.031,9.693,11.187,5.506,9.314,8.024,10.336
TRINITY_DN57884_c9_g3,15.748,20.609,19.625,18.179,21.626,15.17,18.364,15.914,16.334,20.941,17.052,23.799,17.718,17.131,11.466
TRINITY_DN67240_c9_g2,22.801,23.609,20.561,21.974,20.748,22.422,18.393,18.754,19.413,16.216,24.345,18.221,21.469,18.469,19.756
TRINITY_DN52296_c5_g1,11.663,11.059,12.36,7.882,15.156,10.552,17.454,12.469,11.262,13.381,14.329,18.418,9.997,11.087,10.499
TRINITY_DN63970_c2_g1,10.535,5.804,8.491,10.66,8.676,9.305,9.26,7.813,10.03,7.336,6.303,8.217,11.017,8.137,9.42
TRINITY_DN62213_c7_g4,24.601,32.619,26.524,30.903,28.885,30.97,28.905,34.268,27.658,34.322,22.936,29.055,29.12,28.351,31.202
TRINITY_DN64227_c1_g2,19.289,37.894,19.423,27.651,19.869,14.679,27.428,34.74,21.208,21.337,11.016,24.973,23.983,24.216,27.902
TRINITY_DN65490_c2_g1,9.546,11.52,11.646,7.056,7.978,10.13,9.309,7.608,6.45,10.882,12.073,7.988,5.959,8.484,9.745
TRINITY_DN47691_c0_g1,6.291,5.294,6.204,9.955,8.696,2.397,2.914,3.179,5.813,7.559,10.445,6.482,7.958,6.554,7.301
