Sample,Aerobic_Scope_Abs,Ucrit_relative,Vent_Avg_BPM,relaxation,upwelling
GG595,395.98,4.141666667,32.33333333,0,0
GG596,404.78,4.525,37,0,0
GG826,243.44,3.883333333,78,0,0
GG823,216.5,3.6,88.33333333,0,0
GG607,NA,3.741666667,83.66666667,0,0
GG831,310.24,3.875,86,0,0
GG646,294.88,4.241666667,52.33333333,0,0
GG815,267.02,3.616666667,81,0,0
GG633,254.52,3.591666667,57,0,0
GG806,329.94,5.258333333,47,1,0
GG808,367.5,3.7,45.66666667,1,0
GG811,374.3,4.275,45.33333333,1,0
GG797,199.38,3.141666667,62.66666667,0,1
GG675,146.76,3.483333333,62,0,1
GG671,141.06,3.541666667,48,0,1
